time,epsilon
0, 0.007453044315270611
0.09999999999999964, 0.007438766136572152
0.19999999999999996, 0.007421215337902073
0.2999999999999998, 0.007419097977563011
0.3999999999999997, 0.007430459987997164
0.4999999999999998, 0.007435625926503693
0.5999999999999999, 0.007487134164212332
0.7, 0.007522106939919303
0.8, 0.007566096040178997
0.8999999999999997, 0.0076485000617474725
0.9999999999999998, 0.007740566779033536
1.1000000000000003, 0.007839115421969734
1.2, 0.00796437663140103
1.3, 0.00809262334089711
1.4000000000000001, 0.008225788689859643
1.4999999999999998, 0.00833965789253277
1.6000000000000003, 0.008510607382208726
1.7000000000000004, 0.008686273886867213
1.800000000000001, 0.008875004867956497
1.9000000000000006, 0.009056353188326257
2.000000000000001, 0.00924262985804791
2.1000000000000005, 0.009421352324355836
2.2, 0.00962548191393465
2.3000000000000007, 0.00981488586308222
2.4000000000000004, 0.010024753817920727
2.500000000000001, 0.010222158898775478
2.6000000000000005, 0.010434740520919845
2.7, 0.010637355402758704
2.8000000000000007, 0.010823118639521602
2.9000000000000004, 0.01102589470138887
3.000000000000001, 0.011207512662713299
3.1000000000000014, 0.011399690398582976
3.200000000000001, 0.011559616684601242
3.3000000000000016, 0.01172069811768837
3.4000000000000012, 0.01187546825924501
3.5000000000000018, 0.012023068748315453
3.6000000000000014, 0.012132990098919152
3.700000000000001, 0.012263451057817652
3.8000000000000007, 0.012381240086463411
3.900000000000003, 0.012488327327381251
4.000000000000001, 0.012583768703810361
4.1000000000000005, 0.01268029008018726
4.200000000000001, 0.012756681766514195
4.300000000000001, 0.012812903596988015
4.4, 0.012878921200281678
4.5, 0.012928132831322395
4.599999999999999, 0.012971320905791877
4.699999999999999, 0.012990574880022806
4.799999999999999, 0.013012613934600646
4.899999999999999, 0.013028401937416619
4.999999999999998, 0.013000891970717908
5.099999999999999, 0.012997013866430178
5.1999999999999975, 0.012973042965097136
5.299999999999997, 0.01295663068070605
5.399999999999996, 0.012898234925103402
5.4999999999999964, 0.01284699255968397
5.599999999999997, 0.012776768042514281
5.699999999999996, 0.012722004238909894
5.799999999999995, 0.01260534358155886
5.899999999999995, 0.012490897916518116
5.999999999999995, 0.012387657073504805
6.099999999999993, 0.01226498748345744
6.199999999999994, 0.012122323205583218
6.299999999999994, 0.011987733969230769
6.399999999999993, 0.011802824439828141
6.499999999999995, 0.011647164547515411
6.599999999999994, 0.011479103076247681
6.69999999999999, 0.011286907264701008
6.799999999999992, 0.011096925262557
6.8999999999999915, 0.01093332815795002
6.999999999999991, 0.01074712985710774
7.099999999999991, 0.010542698493578233
7.19999999999999, 0.010357555999158535
7.299999999999988, 0.010162474281496194
7.399999999999988, 0.009959720832533372
7.499999999999989, 0.009781257304288507
7.599999999999991, 0.00957594858760396
7.699999999999989, 0.009367018702413948
7.79999999999999, 0.009145253022040981
7.899999999999988, 0.00896009741752459
7.999999999999986, 0.008761849829286315
8.099999999999987, 0.008575276930338945
8.199999999999987, 0.00837694718702605
8.299999999999988, 0.008171024489114172
8.399999999999984, 0.007976523722377917
8.499999999999984, 0.007777292079064645
8.599999999999985, 0.007597582393864237
8.699999999999985, 0.007411272446528212
8.799999999999985, 0.007229365227328425
8.899999999999984, 0.007056277054873722
8.999999999999984, 0.0068785452875532865
9.099999999999984, 0.0067087510425604836
9.199999999999983, 0.006509864137063734
9.299999999999983, 0.006330353486889007
9.399999999999983, 0.006177924899497724
9.499999999999982, 0.0060294630665900795
9.599999999999982, 0.005879192912501859
9.699999999999982, 0.005730088601153441
9.799999999999981, 0.005586268075929315
9.89999999999998, 0.0054577704169714945
